,Location,Site,fid,Name,x,y,Day,Month,Year,Start_time,Tidal_height_start,Finish_time,Tidal_height_finish,No kelp,less_than_10%,greater_then_10%,Width_less_2m,Width_greater_2m
1,Crease,1,1,1,-126.646641,50.6272795,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,0,1,0,1
2,Crease,2,2,2,-126.646104155492,50.6273555131284,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,1,0,1,0
3,Crease,3,3,3,-126.645858437905,50.6277732446352,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,1,0,1,0
4,Crease,4,4,4,-126.645213467782,50.6279281986457,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,0,1,0,1
5,Crease,5,5,5,-126.644496,50.6279465,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,0,1,0,1
6,Crease,6,6,6,-126.6439805,50.628144,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,1,0,0,1
7,Crease,7,7,7,-126.643714,50.628577,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,0,1,0,1
8,Crease,8,8,8,-126.64326698098,50.6288771874555,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,1,0,0,1
9,Crease,9,9,9,-126.642642906794,50.6288150034675,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,0,1,0,1
10,Crease,10,10,10,-126.6419995,50.6286245,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,0,1,0,1
11,Crease,11,11,11,-126.641326,50.6285245,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,0,1,0,1
12,Crease,12,12,12,-126.64093226853,50.6287381435197,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,0,1,0,1
13,Crease,13,13,13,-126.640488,50.629018,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,0,1,0,1
14,Crease,14,14,14,-126.639858,50.629238,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,1,0,1,0
15,Crease,15,15,15,-126.6392015,50.629445,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,1,0,0,0,0
16,Crease,16,16,16,-126.638557040958,50.6295169396953,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,1,0,1,0
17,Crease,17,17,17,-126.638055624716,50.6296165279956,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,1,0,0,0,0
18,Crease,18,18,18,-126.6374625,50.6295685,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,1,0,0,0,0
19,Crease,19,19,19,-126.636751654918,50.6295334546114,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,1,0,0,0,0
20,Crease,20,20,20,-126.63608802092,50.6294314323187,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,1,0,0,0,0
21,Crease,21,21,21,-126.635377327998,50.6294628827101,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,0,1,1,0
22,Crease,22,22,22,-126.634677426837,50.6293653405997,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,0,1,1,0
23,Crease,23,23,23,-126.634184927574,50.6292664533626,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,0,1,0,1
24,Crease,24,24,24,-126.633688,50.629428,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,0,1,0,1
25,Crease,25,25,25,-126.633124,50.629645,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,0,1,0,1
26,Crease,26,26,26,-126.632862,50.6294715,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,0,1,0,1
27,Crease,27,27,27,-126.632568,50.6294125,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,0,1,0,1
28,Crease,28,28,28,-126.632002885581,50.6297057357196,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,0,1,0,1
29,Crease,29,29,29,-126.631729,50.629476,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,0,1,0,1
30,Crease,30,30,30,-126.631488,50.629177,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,0,1,0,1
31,Crease,31,31,31,-126.631242,50.628872,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,0,1,0,1
32,Crease,32,32,32,-126.631244,50.628402,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,0,1,0,1
33,Crease,33,33,33,-126.631206,50.6278795,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,0,1,0,1
34,Crease,34,34,34,-126.631147729108,50.6273933511111,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,0,1,0,1
35,Crease,35,35,35,-126.631307627942,50.6269940646654,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,0,1,0,1
36,Crease,36,36,36,-126.6316585,50.6266035,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,0,1,0,1
37,Crease,37,37,37,-126.63197,50.626191,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,0,1,0,1
38,Crease,38,38,38,-126.6322505,50.625788,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,0,1,0,1
39,Crease,39,39,39,-126.632546,50.625387,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,0,1,0,1
40,Crease,40,40,40,-126.6329445,50.6250255,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,0,1,0,1
41,Crease,41,41,41,-126.633267,50.624633,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,0,1,0,1
42,Crease,42,42,42,-126.633638,50.624231,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,0,1,0,1
43,Crease,43,43,43,-126.634158,50.6238985,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,0,1,1,0
44,Crease,44,44,44,-126.6348245,50.623694,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,0,1,0,1
45,Crease,45,45,45,-126.63533,50.62344,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,0,1,0,1
46,Crease,46,46,46,-126.635526197375,50.6230008287745,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,0,1,0,1
47,Crease,47,47,47,-126.635405184914,50.6225755763531,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,0,1,0,1
48,Crease,48,48,48,-126.6356115,50.6221835,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,0,1,0,1
49,Crease,49,49,49,-126.635886,50.6218005,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,0,1,0,1
50,Crease,50,50,50,-126.6364165,50.621486,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,0,1,0,1
51,Crease,51,51,51,-126.636804,50.6211235,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,0,0,1,0,1
52,Crease,52,52,52,-126.637068,50.6206995,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,1,0,0,0,0
53,Crease,53,53,53,-126.6374835,50.620318,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,1,0,0,0,0
54,Crease,54,54,54,-126.638096,50.6200685,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,1,0,0,0,0
55,Crease,55,55,55,-126.638805602445,50.6200166714061,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,0,0,1,0,1
56,Crease,56,56,56,-126.639483,50.6200135,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,0,0,1,0,1
57,Crease,57,57,57,-126.640183,50.6198275,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,0,0,1,0,1
58,Crease,58,58,58,-126.6408895,50.61971,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,0,0,1,0,1
59,Crease,59,59,59,-126.6416555,50.6196235,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,1,0,0,0,0
60,Crease,60,60,60,-126.642031,50.619374,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,1,0,0,0,0
61,Crease,61,61,61,-126.6420335,50.6189135,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,1,0,0,0,0
62,Crease,62,62,62,-126.6416485,50.6187005,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,0,1,0,0,1
63,Crease,63,63,63,-126.640962780468,50.6186390915303,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,0,0,1,0,1
64,Crease,64,64,64,-126.640523,50.6182805,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,0,0,1,0,1
65,Crease,65,65,65,-126.640635,50.6179255,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,0,0,1,0,1
66,Crease,66,66,66,-126.641113382552,50.6175627087745,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,0,0,1,0,1
67,Crease,67,67,67,-126.641576821492,50.617255717518,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,0,0,1,0,1
68,Crease,68,68,68,-126.642248,50.617146,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,0,0,1,0,1
69,Crease,69,69,69,-126.642861,50.6169,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,0,0,1,0,1
70,Crease,70,70,70,-126.643498,50.6167105,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,0,0,1,0,1
71,Crease,71,71,71,-126.644203511424,50.6166857565689,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,1,0,0,0,0
72,Crease,72,72,72,-126.6448765,50.6165415,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,1,0,0,0,0
73,Crease,73,73,73,-126.6455305,50.6165215,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,1,0,0,0,0
74,Crease,74,74,74,-126.646241578968,50.6166450130648,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,1,0,0,0,0
75,Crease,75,75,75,-126.6469035,50.6164285,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,1,0,0,0,0
76,Crease,76,76,76,-126.6473055,50.6160775,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,1,0,0,0,0
77,Crease,77,77,77,-126.6475015,50.6156545,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,1,0,0,0,0
78,Crease,78,78,78,-126.6477715,50.6152255,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,1,0,0,0,0
79,Crease,79,79,79,-126.648032,50.614772,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,1,0,0,0,0
80,Crease,80,80,80,-126.648013,50.6143475,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,1,0,0,0,0
81,Crease,81,81,81,-126.6477355,50.613939,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,1,0,0,0,0
82,Crease,82,82,82,-126.6471935,50.613733,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,1,0,0,0,0
83,Crease,83,83,83,-126.6464395,50.613672,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,1,0,0,0,0
84,Crease,84,84,84,-126.6457395,50.613484,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,1,0,0,0,0
85,Crease,85,85,85,-126.645091922157,50.6133014557064,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,1,0,0,0,0
86,Crease,86,86,86,-126.644493,50.6134525,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,1,0,0,0,0
87,Crease,87,87,87,-126.64386,50.6136745,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,0,0,1,0,1
88,Crease,88,88,88,-126.643181757787,50.6137670111805,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,0,0,1,0,1
89,Crease,89,89,89,-126.6425377,50.6138132,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,0,0,1,0,1
90,Crease,90,90,90,-126.641892986229,50.6140114675573,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,0,0,1,0,1
91,Crease,91,91,91,-126.641264917174,50.6141675314986,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,0,0,1,0,1
92,Crease,92,92,92,-126.640748939802,50.6139088832904,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,0,0,1,0,1
93,Crease,93,93,93,-126.640082602468,50.6138415051827,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,0,0,1,0,1
94,Crease,94,94,94,-126.63936115,50.61386105,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,0,0,1,0,1
95,Crease,95,95,95,-126.63865035,50.61388065,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,0,0,1,0,1
96,Crease,96,96,96,-126.6379221,50.6138951,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,0,0,1,0,1
97,Crease,97,97,97,-126.637270136754,50.6138347692515,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,0,0,1,0,1
98,Crease,98,98,98,-126.637369182307,50.6134766756709,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,0,0,1,0,1
99,Crease,99,99,99,-126.637993129437,50.6132926612495,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,0,0,1,0,1
100,Crease,100,100,100,-126.638640936971,50.6132912358265,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,0,0,1,0,1
101,Crease,101,101,101,-126.639291430511,50.6134336863109,12,9,2022,1899-12-31 08:01:00,1.07,1899-12-31 08:01:00,1.07,0,0,1,0,1
102,Crease,102,102,102,-126.639979706962,50.613383170235,12,9,2022,1899-12-31 08:01:00,1.07,1899-12-31 08:01:00,1.07,0,0,1,0,1
103,Crease,103,103,103,-126.64062316133,50.6132081073459,12,9,2022,1899-12-31 08:01:00,1.07,1899-12-31 08:01:00,1.07,0,0,1,0,1
104,Crease,104,104,104,-126.641158514732,50.613309080862,12,9,2022,1899-12-31 08:01:00,1.07,1899-12-31 08:01:00,1.07,0,0,1,0,1
105,Crease,105,105,105,-126.641570600785,50.6136084715043,12,9,2022,1899-12-31 08:01:00,1.07,1899-12-31 08:01:00,1.07,0,0,1,0,1
106,Crease,106,106,106,-126.642412417111,50.6135467687116,12,9,2022,1899-12-31 08:01:00,1.07,1899-12-31 08:01:00,1.07,0,0,1,0,1
107,Crease,107,107,107,-126.643210987845,50.6133293377674,12,9,2022,1899-12-31 08:01:00,1.07,1899-12-31 08:01:00,1.07,0,0,1,0,1
108,Crease,108,108,108,-126.643217471143,50.613016349749,12,9,2022,1899-12-31 08:01:00,1.07,1899-12-31 08:01:00,1.07,0,0,1,0,1
109,Crease,109,109,109,-126.642834064872,50.612757384376,12,9,2022,1899-12-31 08:01:00,1.07,1899-12-31 08:01:00,1.07,0,0,1,0,1
110,Crease,110,110,110,-126.64327,50.6125175,12,9,2022,1899-12-31 08:01:00,1.07,1899-12-31 08:01:00,1.07,1,0,0,0,0
111,Crease,111,111,111,-126.643933864402,50.6123614113745,12,9,2022,1899-12-31 08:01:00,1.07,1899-12-31 08:01:00,1.07,0,1,0,0,1
112,Crease,112,112,112,-126.644511,50.6120665,12,9,2022,1899-12-31 08:01:00,1.07,1899-12-31 08:01:00,1.07,0,0,1,0,1
113,Crease,113,113,113,-126.645059,50.6117565,12,9,2022,1899-12-31 08:01:00,1.07,1899-12-31 08:01:00,1.07,0,0,1,0,1
114,Crease,114,114,114,-126.645503,50.6113885,12,9,2022,1899-12-31 08:01:00,1.07,1899-12-31 08:01:00,1.07,0,0,1,0,1
115,Crease,115,115,115,-126.646012,50.6110975,12,9,2022,1899-12-31 08:01:00,1.07,1899-12-31 08:01:00,1.07,0,0,1,0,1
116,Crease,116,116,116,-126.6467095,50.611012,12,9,2022,1899-12-31 08:01:00,1.07,1899-12-31 08:01:00,1.07,0,0,1,0,1
117,Crease,117,117,117,-126.6474565,50.610996,12,9,2022,1899-12-31 08:01:00,1.07,1899-12-31 08:01:00,1.07,0,0,1,1,0
118,Crease,118,118,118,-126.6481935,50.6109905,12,9,2022,1899-12-31 08:01:00,1.07,1899-12-31 08:01:00,1.07,1,0,0,0,0
119,Crease,119,119,119,-126.6489415,50.6110055,12,9,2022,1899-12-31 08:01:00,1.07,1899-12-31 08:10:00,0.98,1,0,0,0,0
120,Crease,120,120,120,-126.649686,50.6110125,12,9,2022,1899-12-31 08:01:00,1.07,1899-12-31 08:10:00,0.98,1,0,0,0,0
121,Crease,121,121,121,-126.650405,50.6109895,12,9,2022,1899-12-31 08:01:00,1.07,1899-12-31 08:10:00,0.98,1,0,0,0,0
