------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 5.2
downloading device type, android
device, Armor X10 Pro
device name, Armor X10 Pro
downloading mode, manual
------------------------------,--------------------
serial number, 04B3 1200 A306 0A
custom name, SC4
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.5
samples, 1020
time diff [logger-smartphone](sec), 1007
lat, NA
long, NA
accuracy (m), NA
------------------------------,--------------------
time,temp
2022-07-16 17:00:01,16.5
2022-07-17 03:00:01,9.0
2022-07-17 13:00:01,9.0
2022-07-17 23:00:01,9.0
2022-07-18 09:00:01,9.0
2022-07-18 19:00:01,9.5
2022-07-19 05:00:01,9.0
2022-07-19 15:00:01,9.0
2022-07-20 01:00:01,9.0
2022-07-20 11:00:01,9.0
2022-07-20 21:00:01,9.5
2022-07-21 07:00:01,9.5
2022-07-21 17:00:01,9.0
2022-07-22 03:00:01,10.0
2022-07-22 13:00:01,9.5
2022-07-22 23:00:01,10.0
2022-07-23 09:00:01,10.0
2022-07-23 19:00:01,9.5
2022-07-24 05:00:01,10.0
2022-07-24 15:00:01,9.5
2022-07-25 01:00:01,10.0
2022-07-25 11:00:01,9.5
2022-07-25 21:00:01,9.5
2022-07-26 07:00:01,9.5
2022-07-26 17:00:01,9.0
2022-07-27 03:00:01,10.0
2022-07-27 13:00:01,9.5
2022-07-27 23:00:01,10.0
2022-07-28 09:00:01,10.0
2022-07-28 19:00:01,9.5
2022-07-29 05:00:01,10.0
2022-07-29 15:00:01,9.5
2022-07-30 01:00:01,9.5
2022-07-30 11:00:01,9.5
2022-07-30 21:00:01,9.5
2022-07-31 07:00:01,9.5
2022-07-31 17:00:01,9.0
2022-08-01 03:00:01,9.5
2022-08-01 13:00:01,9.5
2022-08-01 23:00:01,9.5
2022-08-02 09:00:01,9.5
2022-08-02 19:00:01,9.5
2022-08-03 05:00:01,9.5
2022-08-03 15:00:01,9.5
2022-08-04 01:00:01,9.5
2022-08-04 11:00:01,9.5
2022-08-04 21:00:01,10.5
2022-08-05 07:00:01,10.0
2022-08-05 17:00:01,9.5
2022-08-06 03:00:01,10.0
2022-08-06 13:00:01,9.5
2022-08-06 23:00:01,11.0
2022-08-07 09:00:01,10.5
2022-08-07 19:00:01,10.5
2022-08-08 05:00:01,10.0
2022-08-08 15:00:01,9.5
2022-08-09 01:00:01,9.5
2022-08-09 11:00:01,9.0
2022-08-09 21:00:01,9.5
2022-08-10 07:00:01,9.5
2022-08-10 17:00:01,9.0
2022-08-11 03:00:01,9.5
2022-08-11 13:00:01,9.5
2022-08-11 23:00:01,9.0
2022-08-12 09:00:01,9.0
2022-08-12 19:00:01,9.5
