site_id,lat,lon,tide_station
SC17,50.74597,-126.49875,cedar island
SC11,50.70145,-125.83775,siwash bay
BATI29,50.67436,-126.09788,montagu pt
SC4,50.6541,-126.71054,cedar island 
BATI3,50.62002,-126.62116,cedar island
BATI12 (BATI14),50.62199,-126.70214,cedar island
SC3,50.72314,-126.61762,cedar island 
SC18,50.68202,-126.59572,cedar island
SC9,50.64939,-126.26086,montagu pt
SC10,50.66877,-126.18057,montagu pt
BATI9,50.6767,-126.25472,montagu pt
SC7,50.74602,-126.159,montagu pt
SC20,50.71898,-126.17942,montagu pt
SC6,50.80713,-126.20127,kwatsi bay
SC5,50.82158,-126.28965,kwatsi bay
SC21,50.7702,-126.13128,montagu pt
BATI2,50.66439,-126.90429,cedar island
SC1,50.6203,-126.51521,montagu pt
SC2,50.65488,-126.43851,montagu pt
BATI5,50.641,-126.43813,montagu pt 
