Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-127.73,50.98,PINE ISLAND,1026170,2011-01-01,2011,1,1,†,4.0,,2.0,,3.0,,15.0,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-01-02,2011,1,2,†,4.5,,1.5,,3.0,,15.0,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-01-03,2011,1,3,†,5.0,,2.5,,3.8,,14.2,,0.0,,12.0,,0.0,,12.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-01-04,2011,1,4,†,6.5,,3.0,,4.8,,13.2,,0.0,,5.0,,0.0,,5.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-01-05,2011,1,5,†,6.0,,4.0,,5.0,,13.0,,0.0,,9.6,,0.0,,9.6,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-01-06,2011,1,6,†,6.5,,4.0,,5.3,,12.7,,0.0,,30.8,,0.0,,30.8,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-01-07,2011,1,7,†,5.5,,2.5,,4.0,,14.0,,0.0,,18.0,,0.0,,18.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-01-08,2011,1,8,†,4.0,,2.0,,3.0,,15.0,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-01-09,2011,1,9,†,4.0,,0.0,,2.0,,16.0,,0.0,,0.0,,1.0,,1.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-01-10,2011,1,10,†,3.0,,-0.5,,1.3,,16.7,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-01-11,2011,1,11,†,4.0,,1.0,,2.5,,15.5,,0.0,,0.0,,7.0,,7.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-01-12,2011,1,12,†,4.5,,0.5,,2.5,,15.5,,0.0,,0.0,,2.0,,2.0,,7,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-01-13,2011,1,13,†,5.0,,2.0,,3.5,,14.5,,0.0,,8.8,,0.0,,8.8,,5,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-01-14,2011,1,14,†,9.5,,4.0,,6.8,,11.2,,0.0,,9.6,,0.0,,9.6,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-01-15,2011,1,15,†,8.5,,7.5,,8.0,,10.0,,0.0,,19.2,,0.0,,19.2,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-01-16,2011,1,16,†,8.5,,7.5,,8.0,,10.0,,0.0,,24.4,,0.0,,24.4,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-01-17,2011,1,17,†,6.0,,5.0,,5.5,,12.5,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-01-18,2011,1,18,†,5.5,,2.5,,4.0,,14.0,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-01-19,2011,1,19,†,5.5,,3.5,,4.5,,13.5,,0.0,,17.4,,0.0,,17.4,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-01-20,2011,1,20,†,6.0,,3.0,,4.5,,13.5,,0.0,,25.6,,0.0,,25.6,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-01-21,2011,1,21,†,7.5,,5.0,,6.3,,11.7,,0.0,,5.2,,0.0,,5.2,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-01-22,2011,1,22,†,7.0,,5.5,,6.3,,11.7,,0.0,,8.2,,0.0,,8.2,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-01-23,2011,1,23,†,7.5,,5.0,,6.3,,11.7,,0.0,,36.4,,0.0,,36.4,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-01-24,2011,1,24,†,8.0,,7.0,,7.5,,10.5,,0.0,,4.4,,0.0,,4.4,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-01-25,2011,1,25,†,8.5,,7.0,,7.8,,10.2,,0.0,,17.4,,0.0,,17.4,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-01-26,2011,1,26,†,9.5,,7.5,,8.5,,9.5,,0.0,,2.6,,0.0,,2.6,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-01-27,2011,1,27,†,8.0,,6.0,,7.0,,11.0,,0.0,,11.8,,0.0,,11.8,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-01-28,2011,1,28,†,8.0,,6.0,,7.0,,11.0,,0.0,,0.0,T,0.0,,0.0,T,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-01-29,2011,1,29,†,9.5,,5.5,,7.5,,10.5,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-01-30,2011,1,30,†,6.5,,3.0,,4.8,,13.2,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-01-31,2011,1,31,†,6.0,,4.0,,5.0,,13.0,,0.0,,1.6,,0.0,,1.6,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-02-01,2011,2,1,†,7.0,,4.5,,5.8,,12.2,,0.0,,15.8,,0.0,,15.8,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-02-02,2011,2,2,†,7.0,,4.0,,5.5,,12.5,,0.0,,15.0,,0.0,,15.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-02-03,2011,2,3,†,8.0,,5.5,,6.8,,11.2,,0.0,,50.6,,0.0,,50.6,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-02-04,2011,2,4,†,8.5,,6.0,,7.3,,10.7,,0.0,,0.8,,0.0,,0.8,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-02-05,2011,2,5,†,6.0,,3.0,,4.5,,13.5,,0.0,,21.8,,0.0,,21.8,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-02-06,2011,2,6,†,8.5,,4.5,,6.5,,11.5,,0.0,,28.4,,0.0,,28.4,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-02-07,2011,2,7,†,7.0,,4.5,,5.8,,12.2,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-02-08,2011,2,8,†,7.0,,1.5,,4.3,,13.7,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-02-09,2011,2,9,†,5.5,,1.5,,3.5,,14.5,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-02-10,2011,2,10,†,6.0,,4.0,,5.0,,13.0,,0.0,,0.2,,0.0,,0.2,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-02-11,2011,2,11,†,6.5,,4.5,,5.5,,12.5,,0.0,,4.8,,0.0,,4.8,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-02-12,2011,2,12,†,5.0,,4.0,,4.5,,13.5,,0.0,,36.0,,0.0,,36.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-02-13,2011,2,13,†,6.0,,4.0,,5.0,,13.0,,0.0,,2.0,,0.0,,2.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-02-14,2011,2,14,†,5.0,,4.0,,4.5,,13.5,,0.0,,14.4,,0.0,,14.4,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-02-15,2011,2,15,†,5.0,,2.5,,3.8,,14.2,,0.0,,14.8,,0.0,,14.8,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-02-16,2011,2,16,†,5.0,,2.0,,3.5,,14.5,,0.0,,2.8,,0.5,,3.3,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-02-17,2011,2,17,†,4.0,,1.0,,2.5,,15.5,,0.0,,0.0,,3.6,,3.6,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-02-18,2011,2,18,†,6.0,,1.0,,3.5,,14.5,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-02-19,2011,2,19,†,4.0,,0.0,,2.0,,16.0,,0.0,,0.0,,0.0,T,0.0,T,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-02-20,2011,2,20,†,4.0,,1.0,,2.5,,15.5,,0.0,,2.4,,0.0,T,2.4,,0,T,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-02-21,2011,2,21,†,5.0,,2.5,,3.8,,14.2,,0.0,,2.6,,0.0,,2.6,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-02-22,2011,2,22,†,7.0,,2.0,,4.5,,13.5,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-02-23,2011,2,23,†,2.0,,-2.0,,0.0,,18.0,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-02-24,2011,2,24,†,2.5,,-4.5,,-1.0,,19.0,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-02-25,2011,2,25,†,3.0,,-5.0,,-1.0,,19.0,,0.0,,1.6,,1.2,,2.8,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-02-26,2011,2,26,†,6.0,,-3.0,,1.5,,16.5,,0.0,,7.8,,4.6,,12.4,,0,T,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-02-27,2011,2,27,†,4.5,,1.0,,2.8,,15.2,,0.0,,2.2,,2.0,,4.2,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-02-28,2011,2,28,†,3.5,,0.5,,2.0,,16.0,,0.0,,1.0,,8.2,,9.2,,2,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-03-01,2011,3,1,†,5.5,,0.5,,3.0,,15.0,,0.0,,9.2,,0.0,,9.2,,1,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-03-02,2011,3,2,†,7.5,,4.0,,5.8,,12.2,,0.0,,6.0,,0.0,,6.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-03-03,2011,3,3,†,5.0,,1.5,,3.3,,14.7,,0.0,,8.8,,0.0,,8.8,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-03-04,2011,3,4,†,5.5,,3.5,,4.5,,13.5,,0.0,,4.0,,0.0,,4.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-03-05,2011,3,5,†,8.5,,3.0,,5.8,,12.2,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-03-06,2011,3,6,†,6.5,,3.5,,5.0,,13.0,,0.0,,3.4,,0.0,,3.4,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-03-07,2011,3,7,†,6.5,,3.0,,4.8,,13.2,,0.0,,4.0,,0.0,,4.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-03-08,2011,3,8,†,10.0,,3.5,,6.8,,11.2,,0.0,,4.0,,0.0,,4.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-03-09,2011,3,9,†,8.0,,5.0,,6.5,,11.5,,0.0,,15.6,,0.0,,15.6,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-03-10,2011,3,10,†,8.0,,4.5,,6.3,,11.7,,0.0,,3.8,,0.0,,3.8,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-03-11,2011,3,11,†,7.5,,4.5,,6.0,,12.0,,0.0,,8.8,,0.0,,8.8,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-03-12,2011,3,12,†,7.5,,5.0,,6.3,,11.7,,0.0,,9.6,,0.0,,9.6,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-03-13,2011,3,13,†,7.5,,6.0,,6.8,,11.2,,0.0,,36.2,,0.0,,36.2,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-03-14,2011,3,14,†,8.5,,6.0,,7.3,,10.7,,0.0,,13.0,,0.0,,13.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-03-15,2011,3,15,†,8.0,,6.0,,7.0,,11.0,,0.0,,19.6,,0.0,,19.6,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-03-16,2011,3,16,†,7.0,,4.0,,5.5,,12.5,,0.0,,4.0,,0.0,,4.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-03-17,2011,3,17,†,8.5,,3.5,,6.0,,12.0,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-03-18,2011,3,18,†,9.5,,7.0,,8.3,,9.7,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-03-19,2011,3,19,†,8.5,,4.5,,6.5,,11.5,,0.0,,1.2,,0.0,,1.2,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-03-20,2011,3,20,†,8.0,,5.0,,6.5,,11.5,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-03-21,2011,3,21,†,9.0,,4.0,,6.5,,11.5,,0.0,,0.4,,0.0,,0.4,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-03-22,2011,3,22,†,8.5,,5.0,,6.8,,11.2,,0.0,,2.2,,0.0,,2.2,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-03-23,2011,3,23,†,10.5,,4.0,,7.3,,10.7,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-03-24,2011,3,24,†,12.5,,5.0,,8.8,,9.2,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-03-25,2011,3,25,†,9.5,,5.5,,7.5,,10.5,,0.0,,2.6,,0.0,,2.6,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-03-26,2011,3,26,†,11.0,,5.5,,8.3,,9.7,,0.0,,2.0,,0.0,,2.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-03-27,2011,3,27,†,11.0,,6.0,,8.5,,9.5,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-03-28,2011,3,28,†,9.5,,6.5,,8.0,,10.0,,0.0,,4.4,,0.0,,4.4,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-03-29,2011,3,29,†,8.0,,6.0,,7.0,,11.0,,0.0,,39.0,,0.0,,39.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-03-30,2011,3,30,†,9.5,,6.5,,8.0,,10.0,,0.0,,14.2,,0.0,,14.2,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-03-31,2011,3,31,†,9.0,,7.0,,8.0,,10.0,,0.0,,0.6,,0.0,,0.6,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-04-01,2011,4,1,†,8.0,,5.0,,6.5,,11.5,,0.0,,6.0,,0.0,,6.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-04-02,2011,4,2,†,8.5,,4.5,,6.5,,11.5,,0.0,,0.2,,0.0,,0.2,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-04-03,2011,4,3,†,7.0,,5.0,,6.0,,12.0,,0.0,,6.4,,0.0,,6.4,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-04-04,2011,4,4,†,9.5,,5.0,,7.3,,10.7,,0.0,,7.2,,0.0,,7.2,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-04-05,2011,4,5,†,7.0,,3.5,,5.3,,12.7,,0.0,,13.6,,0.0,,13.6,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-04-06,2011,4,6,†,8.0,,2.5,,5.3,,12.7,,0.0,,2.8,,0.0,,2.8,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-04-07,2011,4,7,†,8.5,,3.0,,5.8,,12.2,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-04-08,2011,4,8,†,9.0,,4.5,,6.8,,11.2,,0.0,,1.6,,0.0,,1.6,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-04-09,2011,4,9,†,8.0,,5.5,,6.8,,11.2,,0.0,,4.8,,0.0,,4.8,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-04-10,2011,4,10,†,7.0,,4.5,,5.8,,12.2,,0.0,,35.8,,0.0,T,35.8,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,2011-04-11,2011,4,11,†,8.5,,2.0,,5.3,,12.7,,0.0,,2.8,,0.0,,2.8,,0,,,,,
